frame_id,timestamp_sec,timestamp,player,shot_type,confidence
193,6.433,00:06.43,player_4,Forehand,0.41
194,6.467,00:06.47,player_2,Forehand,0.445
194,6.467,00:06.47,player_4,Smash,0.765
195,6.5,00:06.50,player_2,Smash,0.74
195,6.5,00:06.50,player_3,Backhand,0.39
196,6.533,00:06.53,player_3,Smash,0.73
196,6.533,00:06.53,player_4,Backhand,0.375
197,6.567,00:06.57,player_4,Forehand,0.345
198,6.6,00:06.60,player_3,Backhand,0.34
198,6.6,00:06.60,player_4,Smash,0.93
199,6.633,00:06.63,player_3,Smash,0.77
199,6.633,00:06.63,player_4,Forehand,0.335
200,6.667,00:06.67,player_1,Forehand,0.34
200,6.667,00:06.67,player_4,Smash,0.84
201,6.7,00:06.70,player_1,Smash,0.83
215,7.167,00:07.17,player_1,Forehand,0.96
217,7.233,00:07.23,player_1,Smash,0.725
217,7.233,00:07.23,player_4,Forehand,0.48
218,7.267,00:07.27,player_2,Forehand,0.5
218,7.267,00:07.27,player_4,Smash,0.725
219,7.3,00:07.30,player_1,Backhand,0.56
219,7.3,00:07.30,player_2,Smash,0.705
220,7.333,00:07.33,player_1,Smash,0.545
220,7.333,00:07.33,player_4,Backhand,0.515
222,7.4,00:07.40,player_2,Backhand,0.505
222,7.4,00:07.40,player_4,Smash,0.68
223,7.433,00:07.43,player_2,Forehand,0.41
223,7.433,00:07.43,player_4,Backhand,0.475
224,7.467,00:07.47,player_1,Backhand,0.475
224,7.467,00:07.47,player_2,Smash,0.605
224,7.467,00:07.47,player_3,Forehand,0.41
224,7.467,00:07.47,player_4,Smash,0.495
225,7.5,00:07.50,player_1,Smash,0.58
225,7.5,00:07.50,player_4,Backhand,0.405
226,7.533,00:07.53,player_3,Backhand,0.49
226,7.533,00:07.53,player_4,Forehand,0.375
227,7.567,00:07.57,player_2,Backhand,0.47
227,7.567,00:07.57,player_4,Backhand,0.515
228,7.6,00:07.60,player_1,Backhand,0.555
228,7.6,00:07.60,player_2,Smash,0.525
229,7.633,00:07.63,player_1,Forehand,0.47
229,7.633,00:07.63,player_2,Backhand,0.625
230,7.667,00:07.67,player_1,Backhand,0.585
230,7.667,00:07.67,player_4,Forehand,0.475
232,7.733,00:07.73,player_4,Backhand,0.355
243,8.1,00:08.10,player_3,Smash,0.39
244,8.133,00:08.13,player_2,Smash,0.53
244,8.133,00:08.13,player_3,Backhand,0.94
245,8.167,00:08.17,player_2,Backhand,0.855
269,8.967,00:08.97,player_1,Smash,0.41
270,9.0,00:09.00,player_1,Backhand,0.765
270,9.0,00:09.00,player_3,Smash,0.445
271,9.033,00:09.03,player_3,Backhand,0.795
271,9.033,00:09.03,player_4,Smash,0.435
272,9.067,00:09.07,player_3,Smash,0.435
272,9.067,00:09.07,player_4,Backhand,0.49
273,9.1,00:09.10,player_3,Backhand,0.605
273,9.1,00:09.10,player_4,Smash,0.44
274,9.133,00:09.13,player_3,Smash,0.405
274,9.133,00:09.13,player_4,Backhand,0.555
275,9.167,00:09.17,player_2,Smash,0.42
275,9.167,00:09.17,player_3,Backhand,0.395
276,9.2,00:09.20,player_2,Backhand,0.335
277,9.233,00:09.23,player_2,Smash,0.375
277,9.233,00:09.23,player_3,Smash,0.51
279,9.3,00:09.30,player_4,Smash,0.35
280,9.333,00:09.33,player_1,Smash,0.38
281,9.367,00:09.37,player_3,Backhand,0.37
282,9.4,00:09.40,player_4,Backhand,0.395
284,9.467,00:09.47,player_4,Forehand,0.295
286,9.533,00:09.53,player_4,Smash,0.28
288,9.6,00:09.60,player_1,Backhand,0.365
288,9.6,00:09.60,player_3,Smash,0.455
289,9.633,00:09.63,player_4,Forehand,0.45
290,9.667,00:09.67,player_1,Forehand,0.45
290,9.667,00:09.67,player_4,Backhand,0.375
291,9.7,00:09.70,player_1,Smash,0.67
291,9.7,00:09.70,player_2,Backhand,0.375
291,9.7,00:09.70,player_4,Smash,0.54
292,9.733,00:09.73,player_2,Smash,0.425
303,10.1,00:10.10,player_1,Forehand,0.51
305,10.167,00:10.17,player_1,Smash,0.635
305,10.167,00:10.17,player_2,Forehand,0.645
306,10.2,00:10.20,player_1,Forehand,0.64
306,10.2,00:10.20,player_2,Smash,0.71
307,10.233,00:10.23,player_1,Smash,0.56
307,10.233,00:10.23,player_2,Forehand,0.51
308,10.267,00:10.27,player_1,Forehand,0.515
308,10.267,00:10.27,player_2,Other,0.305
309,10.3,00:10.30,player_1,Smash,0.445
309,10.3,00:10.30,player_2,Smash,0.59
309,10.3,00:10.30,player_3,Backhand,0.505
310,10.333,00:10.33,player_2,Other,0.375
310,10.333,00:10.33,player_3,Smash,0.565
310,10.333,00:10.33,player_4,Backhand,0.62
311,10.367,00:10.37,player_2,Backhand,0.575
311,10.367,00:10.37,player_4,Other,0.34
312,10.4,00:10.40,player_1,Backhand,0.455
312,10.4,00:10.40,player_2,Smash,0.45
312,10.4,00:10.40,player_4,Smash,0.58
313,10.433,00:10.43,player_1,Smash,0.36
313,10.433,00:10.43,player_2,Backhand,0.41
314,10.467,00:10.47,player_2,Smash,0.515
